"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Russell Westbrook","LAL",43,1517,231,0,99,16,1,0,23,0.12853470437017994,0.1573926868044515,0.006711409395973154
"Miles Bridges","CHA",41,1481,155,4,75,19,0,0,9,0.10775862068965517,0.16666666666666666,0
"Jayson Tatum","BOS",40,1469,243,18,94,19,5,0,21,0.10714285714285714,0.16040955631399317,0.014792899408284023
"Domantas Sabonis","IND",42,1464,235,0,103,27,0,0,28,0.17487266553480477,0.21149897330595482,0
"Tyrese Haliburton","SAC",43,1463,72,8,31,9,1,1,4,0.06438631790744467,0.10616438356164383,0.004878048780487805
"Julius Randle","NYK",41,1459,187,4,81,23,0,0,22,0.10901749663526245,0.1569767441860465,0
"De'Aaron Fox","SAC",42,1431,246,0,121,31,1,0,15,0.1508034610630408,0.18501529051987767,0.0064516129032258064
"Mikal Bridges","PHX",42,1426,49,0,26,11,0,0,4,0.06280193236714976,0.10116731517509728,0
"Saddiq Bey","DET",42,1415,116,5,44,9,3,0,12,0.07692307692307693,0.14102564102564102,0.010033444816053512
"Franz Wagner","ORL",44,1414,136,1,59,12,2,0,12,0.0991869918699187,0.1279826464208243,0.012987012987012988
"Fred VanVleet","TOR",37,1404,128,17,37,10,5,0,17,0.0621301775147929,0.11526479750778816,0.014084507042253521
"Gordon Hayward","CHA",42,1403,145,2,64,15,0,0,15,0.10561056105610561,0.1553398058252427,0
"Harrison Barnes","SAC",41,1371,201,2,90,25,0,0,22,0.17374517374517376,0.2857142857142857,0
"Kyle Kuzma","WAS",41,1370,119,0,52,15,0,0,15,0.09043478260869565,0.15072463768115943,0
"James Harden","BKN",37,1363,300,10,103,23,27,9,22,0.19117647058823528,0.2601010101010101,0.09507042253521127
"Chris Paul","PHX",42,1350,125,8,22,6,3,1,36,0.05197505197505198,0.061452513966480445,0.024390243902439025
"Stephen Curry","GSW",39,1347,186,23,43,8,19,2,15,0.07398568019093078,0.13312693498452013,0.036893203883495145
"Buddy Hield","SAC",46,1347,88,17,19,4,5,1,11,0.037096774193548385,0.10106382978723404,0.009259259259259259
"Dorian Finney-Smith","DAL",42,1342,51,0,21,1,0,0,5,0.05555555555555555,0.12727272727272726,0
"Kyle Lowry","MIA",39,1333,111,1,37,9,3,1,19,0.08849557522123894,0.18316831683168316,0.012
"Seth Curry","PHI",38,1328,73,19,14,6,6,3,10,0.043010752688172046,0.056,0.027906976744186046
"DeMar DeRozan","CHI",38,1318,292,14,133,29,3,2,15,0.1654501216545012,0.17733333333333334,0.041666666666666664
"Desmond Bane","MEM",44,1317,67,11,21,8,2,0,7,0.0358814352574103,0.06287425149700598,0.006514657980456026
"Trae Young","ATL",38,1314,254,15,63,14,11,2,49,0.08716136631330977,0.11290322580645161,0.037800687285223365
"Kevin Durant","BKN",36,1313,255,10,80,16,9,2,39,0.1113892365456821,0.13071895424836602,0.0481283422459893
"Darius Garland","CLE",38,1310,98,20,29,10,2,0,13,0.0499194847020934,0.08192090395480225,0.00749063670411985
"Dejounte Murray","SAS",38,1308,91,0,42,12,3,2,6,0.062146892655367235,0.07678244972577697,0.012422360248447204
"Anthony Edwards","MIN",37,1307,127,3,56,12,0,0,12,0.07745504840940526,0.1396508728179551,0
"Donovan Mitchell","UTA",39,1303,168,2,69,24,8,0,14,0.08943089430894309,0.14285714285714285,0.021164021164021163
"Jalen Brunson","DAL",42,1296,113,8,36,13,2,0,21,0.06761565836298933,0.08294930875576037,0.015625
"Marcus Smart","BOS",38,1294,99,0,37,12,3,1,14,0.09615384615384616,0.15879828326180256,0.01639344262295082
"Shai Gilgeous-Alexander","OKC",37,1292,247,17,97,17,1,0,25,0.12962962962962962,0.17962962962962964,0.004629629629629629
"Zach LaVine","CHI",38,1292,172,11,66,22,3,1,20,0.09286675639300135,0.14072494669509594,0.010948905109489052
"Christian Wood","HOU",42,1292,200,0,81,19,2,0,25,0.1321656050955414,0.19014084507042253,0.009900990099009901
"Bojan Bogdanovic","UTA",42,1284,155,10,54,10,1,1,23,0.09417808219178082,0.17034700315457413,0.003745318352059925
"Terance Mann","LAC",43,1273,82,1,35,5,0,0,7,0.08974358974358974,0.13011152416356878,0
"Jonas Valanciunas","NOP",40,1262,162,0,74,12,0,0,13,0.12374581939799331,0.14653465346534653,0
"Patty Mills","BKN",41,1261,35,2,9,4,4,2,6,0.028824833702882482,0.06521739130434782,0.012779552715654952
"Royce O'Neale","UTA",40,1258,32,0,11,4,0,0,7,0.048672566371681415,0.13253012048192772,0
"Reggie Jackson","LAC",40,1258,72,4,25,5,0,0,12,0.0377643504531722,0.06983240223463687,0
"Devonte' Graham","NOP",40,1252,82,14,18,3,3,0,12,0.04093567251461988,0.10465116279069768,0.008797653958944282
"Karl-Anthony Towns","MIN",36,1243,210,6,102,38,0,0,18,0.1511111111111111,0.21338912133891214,0
"Myles Turner","IND",42,1235,105,0,52,15,0,0,8,0.12064965197215777,0.21052631578947367,0
"Aaron Gordon","DEN",39,1232,115,0,52,16,1,0,12,0.11963882618510158,0.16199376947040497,0.00819672131147541
"Evan Mobley","CLE",36,1231,113,0,59,15,0,0,5,0.12240663900414937,0.1372093023255814,0
"Luguentz Dort","OKC",38,1229,129,3,55,12,2,0,11,0.09844559585492228,0.19230769230769232,0.006825938566552901
"Bradley Beal","WAS",34,1224,167,12,68,13,5,0,9,0.09878213802435724,0.12454212454212454,0.025906735751295335
