"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"LeBron James","CLE",82,3026,136,44,11,8,14,14,4,12,3,15,0,0,439
"Khris Middleton","MIL",82,2982,270,114,11,7,8,9,3,10,7,3,0,2,257
"Andrew Wiggins","MIN",82,2979,163,90,5,6,6,12,8,1,3,6,0,1,240
"Bradley Beal","WAS",82,2977,160,89,4,2,4,2,15,3,3,6,2,0,298
"Jrue Holiday","NOP",81,2927,201,93,6,4,4,4,10,2,1,2,0,0,226
"CJ McCollum","POR",81,2923,168,78,2,4,4,2,7,2,2,7,0,0,209
"Karl-Anthony Towns","MIN",82,2918,285,127,40,24,30,16,22,13,5,12,0,2,380
"Russell Westbrook","OKC",80,2914,200,56,17,14,8,8,7,5,4,14,1,0,460
"Paul George","OKC",79,2891,233,83,11,9,17,10,19,6,9,12,1,2,326
"Giannis Antetokounmpo","MIL",75,2756,231,83,14,15,13,26,3,2,1,17,0,4,511
"Kemba Walker","CHA",80,2736,98,60,2,2,0,1,25,21,1,5,1,0,323
"Ben Simmons","PHI",81,2732,211,74,10,4,12,15,9,3,8,5,0,2,319
"Anthony Davis","NOP",75,2727,159,98,7,47,12,7,9,14,5,7,0,1,558
"Taj Gibson","MIN",82,2727,218,119,17,21,9,4,8,0,2,1,0,8,153
"DeMar DeRozan","TOR",80,2712,151,50,7,4,4,9,4,4,2,21,0,0,394
"Josh Richardson","MIA",81,2689,199,93,8,12,4,6,18,10,3,6,0,0,192
"Will Barton","DEN",81,2683,168,72,6,2,3,8,9,2,2,5,0,2,192
"Damian Lillard","POR",73,2670,117,50,3,4,3,1,34,6,3,16,0,0,396
"Tobias Harris","LAC",80,2668,164,87,8,4,6,9,1,3,3,1,0,8,155
"Donovan Mitchell","UTA",79,2638,213,95,12,6,4,8,20,0,2,4,2,1,264
"Harrison Barnes","DAL",77,2634,94,42,7,7,9,1,1,2,1,11,0,0,242
"Andre Drummond","DET",78,2625,250,88,36,32,25,6,8,2,5,2,0,6,338
"Thaddeus Young","IND",81,2607,175,78,8,6,4,5,8,18,10,7,0,0,124
"Lou Williams","LAC",79,2589,106,38,2,3,4,6,7,4,0,18,1,0,364
"E'Twaun Moore","NOP",82,2586,182,71,12,4,2,2,6,1,2,0,1,1,75
"Joe Ingles","UTA",82,2579,178,75,6,2,6,3,7,1,2,6,0,3,140
"Jamal Murray","DEN",81,2565,173,78,4,1,4,3,10,10,8,6,0,0,202
"Victor Oladipo","IND",75,2552,175,71,11,8,6,9,10,10,8,18,0,3,312
"James Harden","HOU",72,2551,169,66,11,10,13,16,10,1,2,20,0,2,505
