Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Jimmy Butler,32.1,MIA,Forward,578,74,85.6%,100,21.1%,88,2.2%,27,12.1%
James Harden,32.2,BKN,Point,700,76,89.6%,100,17.6%,88,2.8%,61,26.3%
Dwight Howard,35.9,LAL,Big,244,18,60.5%,100,31.6%,86,2.7%,19,11.1%
Gary Payton II,28.9,GSW,Combo,250,5,61.5%,100,16.0%,10,0.7%,34,16.7%
Norman Powell,28.4,POR,Wing,522,55,81.2%,100,15.0%,88,2.0%,74,31.4%
Mitchell Robinson,23.6,NYK,Big,432,11,57.9%,99,26.7%,14,0.9%,36,20.0%
David Nwaba,28.8,HOU,Wing,134,0,57.1%,99,14.6%,83,1.8%,0,0.0%
Josh Okogie,23.2,MIN,Forward,155,0,46.2%,98,20.0%,23,0.5%,34,14.3%
Rudy Gobert,29.3,UTA,Big,621,30,66.4%,98,25.8%,99,5.3%,22,12.8%
Dalano Banton,22.0,TOR,Combo,256,0,70.0%,98,13.0%,73,1.7%,46,20.0%
De'Aaron Fox,23.9,SAC,Point,720,16,72.9%,98,13.6%,46,1.6%,59,23.2%
Jalen McDaniels,23.8,CHA,Wing,268,0,60.9%,98,13.5%,63,1.3%,70,30.0%
Giannis Antetokounmpo,26.9,MIL,Big,643,33,67.2%,97,21.8%,97,4.6%,49,22.3%
Harrison Barnes,29.4,SAC,Forward,660,61,84.3%,97,19.0%,89,2.3%,48,19.6%
Isaac Okoro,20.8,CLE,Wing,388,10,69.2%,96,12.6%,18,0.5%,67,28.6%
Montrezl Harrell,27.8,WAS,Big,535,75,79.8%,96,21.5%,74,2.3%,62,27.7%
Alperen Sengun,19.3,HOU,Big,308,28,66.1%,95,21.4%,88,3.0%,73,32.0%
DeMar DeRozan,32.2,CHI,Forward,730,96,89.9%,95,16.9%,94,2.3%,66,22.7%
Tyrese Maxey,21.0,PHI,Point,709,72,89.2%,95,12.6%,27,1.2%,83,36.8%
Brad Wanamaker,32.3,IND,Combo,110,0,81.8%,95,12.9%,98,2.7%,61,25.0%
Andrew Wiggins,26.7,GSW,Wing,595,23,73.3%,95,12.5%,84,1.8%,52,20.5%
Cody Zeller,29.1,POR,Big,221,59,75.7%,94,21.3%,72,2.3%,12,7.7%
Collin Sexton,22.8,CLE,Wing,314,35,74.4%,94,12.3%,99,2.8%,61,25.0%
Naji Marshall,23.8,NOP,Forward,158,0,85.7%,94,16.2%,22,0.5%,0,0.0%
Mason Plumlee,31.7,CHA,Big,522,0,34.6%,94,21.0%,48,1.5%,36,20.0%
Alec Burks,30.3,NYK,Wing,439,48,80.0%,93,11.9%,82,1.7%,39,15.0%
Alex Caruso,27.7,CHI,Combo,579,89,90.2%,93,12.3%,39,1.2%,68,29.4%
Kevin Porter,21.5,HOU,Point,507,0,62.3%,93,12.3%,68,2.1%,34,18.5%
Joel Embiid,27.6,PHI,Big,323,66,77.6%,93,20.7%,100,5.9%,17,9.8%
Amir Coffey,24.4,LAC,Forward,147,0,100.0%,92,13.9%,6,0.3%,0,0.0%
Bam Adebayo,24.3,MIA,Big,555,64,76.9%,92,20.6%,76,2.4%,48,21.8%
Aaron Wiggins,22.8,OKC,Wing,103,0,40.0%,91,11.8%,80,1.7%,89,50.0%
Enes Kanter,29.5,BOS,Big,110,0,93.3%,91,20.6%,31,1.1%,63,28.6%
