"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Miles Bridges","CHA",64,2318,4824,1270,356,603,0.5903814262023217,115,375,0.30666666666666664,0.3108108108108108,213,416,296,291,54,0.5842696629213483,0.6081871345029239,0.8434782608695652,0.3834355828220859,0.5490379629629629,0.5403885480572597,0.5801282051282052,28,47,0.0779436152570481,3,0.008,22.50460405156538
"Mikal Bridges","PHX",65,2275,4658,877,256,409,0.6259168704156479,91,248,0.36693548387096775,0.36693548387096775,92,396,116,267,6,0.7734375,0.8114754098360656,0.978021978021978,0.3774733637747336,0.5357164383561644,0.5974124809741248,0.6246438746438746,24,18,0.044009779951100246,4,0.016129032258064516,14.570819608602983
"Jayson Tatum","BOS",62,2247,4494,1643,390,766,0.5091383812010444,177,530,0.3339622641509434,0.3352272727272727,332,324,456,300,231,0.4153846153846154,0.43783783783783786,0.5649717514124294,0.4089506172839506,0.5116433101314772,0.5057870370370371,0.5566231983527797,40,70,0.09138381201044386,3,0.005660377358490566,32.26124704025256
"Julius Randle","NYK",63,2231,4483,1262,349,746,0.467828418230563,103,333,0.30930930930930933,0.30930930930930933,255,250,448,249,60,0.35816618911174786,0.40064102564102566,0.8058252427184466,0.3086190917516219,0.5116211502782931,0.4666357738646895,0.5138775510204082,74,54,0.07238605898123325,0,0,28.184123268968207
"DeMar DeRozan","CHI",61,2190,4495,1707,585,1115,0.5246636771300448,40,112,0.35714285714285715,0.36363636363636365,417,238,932,108,12,0.20341880341880342,0.2065972222222222,0.9,0.09127954360228199,0.47005061224489797,0.5256723716381418,0.5929824561403508,18,70,0.06278026905829596,1,0.008928571428571428,31.506024096385545
"Saddiq Bey","DET",65,2184,4456,1045,192,430,0.44651162790697674,167,480,0.34791666666666665,0.3538135593220339,160,166,218,447,54,0.4322916666666667,0.4911242603550296,0.8922155688622755,0.5274725274725275,0.5200296666666667,0.48626373626373626,0.5246727089627392,46,40,0.09302325581395349,3,0.00625,21.07324716020368
"Tyrese Haliburton","IND",62,2174,4449,938,206,402,0.5124378109452736,135,326,0.41411042944785276,0.421875,121,110,302,243,162,0.2669902912621359,0.27918781725888325,0.6,0.4478021978021978,0.498128511821975,0.5611263736263736,0.5902160101651842,18,29,0.07213930348258707,2,0.006134969325153374,18.714030561619367
"Russell Westbrook","LAL",63,2165,4501,1142,374,789,0.4740177439797212,60,213,0.28169014084507044,0.28169014084507044,214,176,572,114,66,0.23529411764705882,0.2410958904109589,0.6333333333333333,0.2125748502994012,0.5144226546906188,0.4630738522954092,0.49781849912739967,18,74,0.09378960709759189,1,0.004694835680751174,27.62715218681971
"Dorian Finney-Smith","DAL",64,2117,4128,681,121,211,0.5734597156398105,130,338,0.38461538461538464,0.3869047619047619,49,180,62,384,6,0.743801652892562,0.8333333333333334,0.9846153846153847,0.6156648451730419,0.5769649908592321,0.575591985428051,0.5840480274442539,26,20,0.0947867298578199,3,0.008875739644970414,13.999569244023261
"Harrison Barnes","SAC",62,2103,4367,1073,202,394,0.5126903553299492,122,290,0.4206896551724138,0.4206896551724138,303,224,180,348,18,0.5544554455445545,0.5894736842105263,0.9508196721311475,0.4239766081871345,0.5245773391812866,0.5628654970760234,0.6328963051251489,24,42,0.1065989847715736,1,0.0034482758620689655,19.160211985324093
