"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Tyrese Maxey","PHI",9,340,668,218,51,93,0.5483870967741935,29,62,0.46774193548387094,0.46774193548387094,29,40,62,75,12,0.39215686274509803,0.39215686274509803,0.8620689655172413,0.4,0.5351935064935065,0.6096774193548387,0.6374269005847953,0,8,0.08602150537634409,0,0,25.997248968363138
"James Harden","PHI",9,331,645,198,43,83,0.5180722891566265,20,60,0.3333333333333333,0.3333333333333333,52,8,78,18,42,0.09302325581395349,0.09302325581395349,0.3,0.4195804195804196,0.4796178321678322,0.5104895104895105,0.5914634146341463,0,8,0.0963855421686747,1,0.016666666666666666,26.96148359486448
"Bam Adebayo","MIA",9,315,629,161,63,115,0.5478260869565217,0,2,0,0,35,80,46,0,0,0.6349206349206349,0.6779661016949152,0,0.017094017094017096,0.4924719827586207,0.5384615384615384,0.5919117647058824,8,4,0.034782608695652174,0,0,23.54609929078014
"Kevin Porter Jr.","HOU",9,314,659,184,47,108,0.4351851851851852,16,46,0.34782608695652173,0.34782608695652173,42,22,72,18,30,0.23404255319148937,0.2558139534883721,0.375,0.2987012987012987,0.4902642857142857,0.461038961038961,0.519774011299435,8,18,0.16666666666666666,2,0.043478260869565216,26.988265971316817
"Stephen Curry","GSW",9,314,684,279,45,76,0.5921052631578947,46,111,0.4144144144144144,0.42592592592592593,51,22,68,84,54,0.24444444444444444,0.2619047619047619,0.6086956521739131,0.5935828877005348,0.5106233695652174,0.6096256684491979,0.6650485436893204,6,5,0.06578947368421052,1,0.009009009009009009,30.31496062992126
"Kyle Lowry","MIA",9,312,626,122,16,30,0.5333333333333333,20,59,0.3389830508474576,0.3448275862068966,30,16,16,48,12,0.5,0.5,0.8,0.6629213483146067,0.5352977272727273,0.5168539325842697,0.5865384615384616,0,6,0.2,0,0,17.52873563218391
"Kyrie Irving","BKN",8,309,627,215,57,97,0.5876288659793815,21,75,0.28,0.28,38,42,72,21,42,0.3684210526315789,0.375,0.3333333333333333,0.436046511627907,0.5059426900584795,0.5145348837209303,0.5605263157894737,2,12,0.12371134020618557,0,0,30.276564774381367
"Cade Cunningham","DET",9,309,649,195,65,132,0.49242424242424243,12,42,0.2857142857142857,0.2926829268292683,29,24,106,24,12,0.18461538461538463,0.1875,0.6666666666666666,0.2413793103448276,0.48332803468208096,0.47701149425287354,0.5104712041884817,2,18,0.13636363636363635,0,0,29.945799457994582
"Franz Wagner","ORL",9,307,632,145,50,92,0.5434782608695652,8,37,0.21621621621621623,0.2222222222222222,21,32,68,15,9,0.32,0.3333333333333333,0.625,0.2868217054263566,0.52458046875,0.4806201550387597,0.5144927536231884,4,6,0.06521739130434782,1,0.02702702702702703,22.916666666666668
"Paolo Banchero","ORL",9,306,635,196,58,115,0.5043478260869565,9,36,0.25,0.25,53,42,74,15,12,0.3620689655172414,0.375,0.5555555555555556,0.23841059602649006,0.5062980132450331,0.4735099337748344,0.5355191256830601,4,8,0.06956521739130435,0,0,29.329608938547487
"Lauri Markkanen","UTA",9,305,629,195,58,88,0.6590909090909091,17,58,0.29310344827586204,0.29310344827586204,28,72,44,45,6,0.6206896551724138,0.72,0.8823529411764706,0.3972602739726027,0.5200592465753425,0.571917808219178,0.6018518518518519,16,5,0.056818181818181816,0,0,24.320652173913043
"Kevin Durant","BKN",8,302,613,260,71,120,0.5916666666666667,14,41,0.34146341463414637,0.34146341463414637,76,72,70,24,18,0.5070422535211268,0.5217391304347826,0.5714285714285714,0.2546583850931677,0.4807298136645962,0.5714285714285714,0.6507537688442211,4,2,0.016666666666666666,1,0.024390243902439025,34.08071748878923
"DeMar DeRozan","CHI",9,301,627,210,68,137,0.49635036496350365,4,12,0.3333333333333333,0.3333333333333333,62,38,98,12,0,0.27941176470588236,0.27941176470588236,1,0.08053691275167785,0.4649463087248322,0.4966442953020134,0.5754189944134078,0,4,0.029197080291970802,0,0,28.085106382978726
