"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Pascal Siakam","TOR",6,260,488,137,47,90,0.5222222222222223,4,17,0.23529411764705882,0.23529411764705882,31,22,72,12,0,0.23404255319148937,0.24444444444444444,1,0.1588785046728972,0.4718672897196262,0.4953271028037383,0.556910569105691,4,4,0.044444444444444446,0,0,24.81751824817518
"Dorian Finney-Smith","DAL",6,260,487,79,11,18,0.6111111111111112,17,43,0.3953488372093023,0.3953488372093023,6,16,6,48,3,0.7272727272727273,0.8,0.9411764705882353,0.7049180327868853,0.5560155737704918,0.5983606557377049,0.6171875,2,4,0.2222222222222222,0,0,12.781954887218044
"Reggie Bullock","DAL",6,254,482,64,4,5,0.8,17,42,0.40476190476190477,0.40476190476190477,5,8,0,51,0,1,1,1,0.8936170212765957,0.5635042553191489,0.6276595744680851,0.6458333333333334,0,1,0.2,0,0,9.615384615384615
"Tyrese Maxey","PHI",6,252,477,128,32,55,0.5818181818181818,15,37,0.40540540540540543,0.40540540540540543,19,32,32,36,9,0.5,0.5161290322580645,0.8,0.40217391304347827,0.5182364130434783,0.592391304347826,0.6363636363636364,2,1,0.01818181818181818,0,0,20.604914933837428
"Mikal Bridges","PHX",6,251,485,104,30,54,0.5555555555555556,8,15,0.5333333333333333,0.5333333333333333,20,48,12,24,0,0.8,0.8275862068965517,1,0.21739130434782608,0.5455659420289856,0.6086956521739131,0.6582278481012658,2,3,0.05555555555555555,1,0.06666666666666667,16.571428571428573
"Tobias Harris","PHI",6,245,456,107,27,47,0.574468085106383,13,30,0.43333333333333335,0.43333333333333335,14,26,28,36,3,0.48148148148148145,0.48148148148148145,0.9230769230769231,0.38961038961038963,0.5238824675324675,0.6038961038961039,0.6294117647058823,0,3,0.06382978723404255,0,0,18.73767258382643
"James Harden","PHI",6,243,455,114,19,45,0.4222222222222222,13,34,0.38235294117647056,0.38235294117647056,37,6,32,12,27,0.15789473684210525,0.15789473684210525,0.3076923076923077,0.43037974683544306,0.5244854430379747,0.4873417721518987,0.5816326530612245,0,10,0.2222222222222222,1,0.029411764705882353,23.471400394477318
"Brandon Ingram","NOP",6,236,459,162,45,91,0.4945054945054945,11,27,0.4074074074074074,0.4230769230769231,39,42,48,30,3,0.4666666666666667,0.4772727272727273,0.9090909090909091,0.2288135593220339,0.45458931623931625,0.5211864406779662,0.583941605839416,2,4,0.04395604395604396,0,0,28.96174863387978
"CJ McCollum","NOP",6,234,456,133,32,74,0.43243243243243246,17,51,0.3333333333333333,0.3333333333333333,18,16,48,30,21,0.25,0.26666666666666666,0.5882352941176471,0.408,0.4871744,0.46,0.4854014598540146,4,5,0.06756756756756757,0,0,27.787934186471666
"Joel Embiid","PHI",6,234,438,157,48,79,0.6075949367088608,4,21,0.19047619047619047,0.19047619047619047,49,60,36,12,0,0.625,0.6818181818181818,1,0.21,0.4984765,0.54,0.623015873015873,8,6,0.0759493670886076,0,0,30.16528925619835
"Donovan Mitchell","UTA",6,229,436,153,43,85,0.5058823529411764,10,48,0.20833333333333334,0.20833333333333334,37,16,70,9,21,0.18604651162790697,0.2,0.3,0.3609022556390977,0.4929086466165413,0.43609022556390975,0.5033112582781457,6,4,0.047058823529411764,0,0,34.0122199592668
"Jalen Brunson","DAL",6,228,427,167,49,93,0.5268817204301075,12,33,0.36363636363636365,0.36363636363636365,33,10,88,21,15,0.10204081632653061,0.10204081632653061,0.5833333333333334,0.2619047619047619,0.47094404761904757,0.5317460317460317,0.5851063829787234,0,4,0.043010752688172046,0,0,31.317494600431967
"Desmond Bane","MEM",6,228,482,141,21,41,0.5121951219512195,27,56,0.48214285714285715,0.48214285714285715,18,32,10,75,6,0.7619047619047619,0.7619047619047619,0.9259259259259259,0.5773195876288659,0.5455020618556701,0.634020618556701,0.6571428571428571,0,8,0.1951219512195122,3,0.05357142857142857,20.49910873440285
