Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry\curryst01,PG,33,GSW,23,23,787,206,469,.439,126,303,.416,80,166,.482,.574,99,106,.934,14,115,129,150,41,11,71,41,637
2,Buddy Hield\hieldbu01,SG,29,SAC,24,2,688,127,327,.388,87,239,.364,40,88,.455,.521,41,49,.837,18,84,102,54,16,6,39,51,382
3,CJ McCollum\mccolcj01,SG,30,POR,24,24,848,191,451,.424,77,196,.393,114,255,.447,.509,35,50,.700,27,72,99,107,26,17,46,51,494
4,Kelly Oubre Jr.\oubreke01,SF,26,CHO,26,7,738,160,343,.466,76,193,.394,84,150,.560,.577,34,53,.642,31,71,102,28,26,8,24,64,430
5,Lonzo Ball\balllo01,PG,24,CHI,25,25,879,114,276,.413,75,176,.426,39,100,.390,.549,8,11,.727,25,114,139,123,42,26,58,62,311
6,Grayson Allen\allengr01,SG,26,MIL,24,24,693,110,244,.451,74,174,.425,36,70,.514,.602,29,33,.879,13,76,89,32,16,8,15,38,323
7,Patty Mills\millspa02,PG,33,BRK,24,10,687,107,233,.459,74,160,.463,33,73,.452,.618,13,14,.929,6,36,42,58,14,5,20,31,301
8,Duncan Robinson\robindu01,SG,27,MIA,25,25,704,95,258,.368,72,217,.332,23,41,.561,.508,11,15,.733,8,79,87,35,20,6,21,71,273
9,Fred VanVleet\vanvlfr01,PG,27,TOR,23,23,876,163,369,.442,72,184,.391,91,185,.492,.539,58,67,.866,17,97,114,141,34,14,74,62,456
10,Zach LaVine\lavinza01,SF,26,CHI,25,25,875,237,484,.490,71,188,.378,166,296,.561,.563,102,118,.864,9,123,132,101,13,9,64,38,647
11,LaMelo Ball\ballla01,PG,20,CHO,24,24,799,174,416,.418,70,179,.391,104,237,.439,.502,63,70,.900,37,148,185,198,46,10,78,75,481
12,Anthony Edwards\edwaran01,SG,20,MIN,24,24,877,193,456,.423,70,205,.341,123,251,.490,.500,70,88,.795,32,114,146,89,39,18,83,54,526
13,Jayson Tatum\tatumja01,SF,23,BOS,25,25,909,224,542,.413,70,209,.335,154,333,.462,.478,120,146,.822,28,191,219,92,22,19,65,61,638
14,Pat Connaughton\connapa01,SG,29,MIL,25,10,721,110,221,.498,69,161,.429,41,60,.683,.654,19,25,.760,21,100,121,36,23,8,21,36,308
15,Reggie Jackson\jacksre01,SG,31,LAC,25,25,833,164,415,.395,69,210,.329,95,205,.463,.478,34,43,.791,16,73,89,99,16,3,48,47,431
16,Trae Young\youngtr01,PG,23,ATL,25,25,855,228,500,.456,69,176,.392,159,324,.491,.525,132,149,.886,18,81,99,236,23,3,99,43,657
17,Donovan Mitchell\mitchdo01,SG,25,UTA,22,22,716,198,444,.446,68,202,.337,130,242,.537,.523,69,78,.885,20,70,90,113,38,4,66,55,533
18,Jordan Poole\poolejo01,SG,22,GSW,24,24,726,155,343,.452,67,190,.353,88,153,.575,.550,53,58,.914,8,69,77,85,25,5,60,70,430
19,Malik Beasley\beaslma01,SG,25,MIN,24,0,616,93,261,.356,65,194,.335,28,67,.418,.481,16,22,.727,9,65,74,36,15,4,15,29,267
20,Paul George\georgpa01,SF,31,LAC,24,24,861,220,521,.422,64,201,.318,156,320,.488,.484,95,108,.880,10,165,175,130,45,9,102,62,599
21,Carmelo Anthony\anthoca01,PF,37,LAL,25,3,705,120,274,.438,63,151,.417,57,123,.463,.553,49,60,.817,18,80,98,21,19,15,19,59,352
